2018-04-27 12-36-39 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-123636-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-39-56 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-40-00 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-123955-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-54-28 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-54-31 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-125428-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-55-55 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-55-57 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-125555-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-56-08 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-56-12 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-125608-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-57-26 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-57-47 | "--_POST SYNC_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-125726-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 2 --ERRORS __ 0 --CONFLICTS __ 0 --SYNCED-OK ITEMS POST __ 2 --SYNCED-OK FILE CHANGES POST __ 2"
2019-03-22 23-41-58 | "--_PRE ANALYZE_ --JOB NAME __ "GOODSYNC - 7G 5P" --RESULT __ "" --LEFT __ "C:\GoodSync" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/C:/GoodSync""
2019-03-22 23-42-13 | "--_POST ANALYZE_ --JOB NAME __ "GOODSYNC - 7G 5P" --RESULT __ "Error analyzing gstps://7-asus-gl522vw.matt-lan-2.goodsync/C:/GoodSync: stopped by Stop By User" --LEFT __ "C:\GoodSync" --RIGHT __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/C:/GoodSync" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-GoodSync\2019-0322-234158-5-ASUS-P2520LA-GOODSYNC - 7G 5P.log" __ --LEFT FOLDER RESOLVED __ "C:/GoodSync" --RIGHT FOLDER RESOLVED __ "gstps://7-asus-gl522vw.matt-lan-2.goodsync/C:/GoodSync" --ERRORS __ 0 --CHANGED __ 0 -CONFLICTS __ 0"
