
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2015-1023-151159-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	189.7 KB	192.0 KB	23/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1023-172043-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	23/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1023-193049-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	23/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1023-214535-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.6 KB	4.0 KB	23/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1023-235451-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	23/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-020438-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-041443-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.0 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-065348-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-090420-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-111210-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-132229-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
