
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2016-0408-050147-2-ASUS-X5DIJ-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	6,359.9 KB	6,360.0 KB	08/04/2016	08/04/2016	.log (Notepad++ Document)	Guest
2016-0409-134032-2-ASUS-X5DIJ-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	0.7 KB	4.0 KB	09/04/2016	09/04/2016	.log (Notepad++ Document)	Guest
2016-0412-135727-2-ASUS-X5DIJ-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	555.8 KB	556.0 KB	12/04/2016	12/04/2016	.log (Notepad++ Document)	Guest
2016-0412-194851-4-ASUS-GL522VW-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	555.0 KB	556.0 KB	12/04/2016	12/04/2016	.log (Notepad++ Document)	MATT 01
2016-0510-234650-4-ASUS-GL522VW-Installation's D - D ASUS-EEE.user-oper.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	1,030.1 KB	1,032.0 KB	10/05/2016	10/05/2016	.log (Notepad++ Document)	MATT 01
2016-0514-022446-4-ASUS-GL522VW-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	107.8 KB	108.0 KB	14/05/2016	14/05/2016	.log (Notepad++ Document)	MATT 01
2016-0522-171253-4-ASUS-GL522VW-Installation's D - D ASUS-EEE.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	290.1 KB	292.0 KB	22/05/2016	22/05/2016	.log (Notepad++ Document)	MATT 01
2016-0525-225338-5-ASUS-P2520L-INSTALL'S D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	21.8 KB	24.0 KB	25/05/2016	25/05/2016	.log (Notepad++ Document)	MATT 01
2016-0526-005517-5-ASUS-P2520L-INSTALL'S D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	8.8 KB	12.0 KB	26/05/2016	26/05/2016	.log (Notepad++ Document)	MATT 01
2016-0527-172007-5-ASUS-P2520L-INSTALL'S D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	0.7 KB	4.0 KB	27/05/2016	27/05/2016	.log (Notepad++ Document)	MATT 01
2016-0531-145543-5-ASUS-P2520L-INSTALL'S D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	2.6 KB	4.0 KB	31/05/2016	31/05/2016	.log (Notepad++ Document)	MATT 01
2016-0610-042405-5-ASUS-P2520LA-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	85.2 KB	88.0 KB	10/06/2016	10/06/2016	.log (Notepad++ Document)	MATT 01
2016-0616-001526-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	3.1 KB	4.0 KB	16/06/2016	16/06/2016	.log (Notepad++ Document)	MATT 01
2016-0710-190042-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	746.0 KB	748.0 KB	10/07/2016	10/07/2016	.log (Notepad++ Document)	MATT 01
2016-0724-184630-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	789.3 KB	792.0 KB	24/07/2016	24/07/2016	.log (Notepad++ Document)	MATT 01
2016-0724-211317-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	0.9 KB	4.0 KB	24/07/2016	24/07/2016	.log (Notepad++ Document)	MATT 01
2016-0808-210135-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	6.0 KB	8.0 KB	08/08/2016	08/08/2016	.log (Notepad++ Document)	MATT 01
2016-0808-230409-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	0.7 KB	4.0 KB	08/08/2016	08/08/2016	.log (Notepad++ Document)	MATT 01
2016-0809-050804-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	2.0 KB	4.0 KB	09/08/2016	09/08/2016	.log (Notepad++ Document)	MATT 01
2016-0821-095930-4-ASUS-GL522VW-Install D - D ASUS-E.log	\\1-ASUS-EEE\D$\#0 1 INSTALLATIONS\_gsdata_\	274.8 KB	276.0 KB	21/08/2016	21/08/2016	.log (Notepad++ Document)	MATT 01
_cleanup.gss	\\1-ASUS-EEE\D$\_gsdata_\	0.0 KB	0.0 KB	04/07/2016	27/10/2015	.gss (GSS File)	Administrators
_file_state_v4._gs	\\1-ASUS-EEE\D$\_gsdata_\	19,441.3 KB	19,444.0 KB	04/07/2016	30/10/2015	._gs (_GS File)	Administrators
_recycled_db._gs	\\1-ASUS-EEE\D$\_gsdata_\	308.8 KB	312.0 KB	04/07/2016	27/10/2015	._gs (_GS File)	Administrators
2015-1022-121024-ASUS-BIGGER-D Selection Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	265.0 KB	268.0 KB	22/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-181329-ASUS-BIGGER-D Selection Sync ASUS EEE D.user-oper.log	\\1-ASUS-EEE\D$\_gsdata_\	653.1 KB	656.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1110-155523-ASUS-BIGGER-D Selection Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	16,060.6 KB	16,064.0 KB	10/11/2015	10/11/2015	.log (Notepad++ Document)	Administrators
2015-1122-232622-ASUS-BIGGER-D Sync ASUS EEE D.user-oper.log	\\1-ASUS-EEE\D$\_gsdata_\	1,217.3 KB	1,220.0 KB	22/11/2015	22/11/2015	.log (Notepad++ Document)	Administrators
2015-1124-003905-ASUS-BIGGER-D Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	9.8 KB	12.0 KB	24/11/2015	24/11/2015	.log (Notepad++ Document)	Administrators
2015-1124-023701-ASUS-BIGGER-D Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	4.4 KB	8.0 KB	24/11/2015	24/11/2015	.log (Notepad++ Document)	Administrators
2015-1203-005912-ASUS-BIGGER-D Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	1.4 KB	4.0 KB	03/12/2015	03/12/2015	.log (Notepad++ Document)	Administrators
2015-1217-170525-ASUS-BIGGER-D Sync ASUS EEE D.user-oper.log	\\1-ASUS-EEE\D$\_gsdata_\	4,463.4 KB	4,464.0 KB	17/12/2015	17/12/2015	.log (Notepad++ Document)	Administrators
2016-0208-003212-2-ASUS-X5DIJ-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	98.6 KB	100.0 KB	08/02/2016	08/02/2016	.log (Notepad++ Document)	Guest
2016-0211-143802-2-ASUS-X5DIJ-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	0.8 KB	4.0 KB	11/02/2016	11/02/2016	.log (Notepad++ Document)	Guest
2016-0402-131011-2-ASUS-X5DIJ-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	8.3 KB	12.0 KB	02/04/2016	02/04/2016	.log (Notepad++ Document)	Guest
2016-0404-023439-2-ASUS-X5DIJ-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	1.1 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0410-062127-4-ASUS-GL522VW-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	1.4 KB	4.0 KB	10/04/2016	10/04/2016	.log (Notepad++ Document)	MATT 01
2016-0423-055401-4-ASUS-GL522VW-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	1.2 KB	4.0 KB	23/04/2016	23/04/2016	.log (Notepad++ Document)	MATT 01
2016-0501-175941-4-ASUS-GL522VW-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	13.2 KB	16.0 KB	01/05/2016	01/05/2016	.log (Notepad++ Document)	MATT 01
2016-0514-002229-4-ASUS-GL522VW-D -- ASUS-EEE D.log	\\1-ASUS-EEE\D$\_gsdata_\	23.4 KB	24.0 KB	14/05/2016	14/05/2016	.log (Notepad++ Document)	MATT 01
2016-0703-095815-4-ASUS-GL522VW-D - ASUS-E D.user-oper.log	\\1-ASUS-EEE\D$\_gsdata_\	5,917.1 KB	5,920.0 KB	03/07/2016	03/07/2016	.log (Notepad++ Document)	MATT 01
2016-0704-144149-4-ASUS-GL522VW-D - ASUS-E D.user-oper.log	\\1-ASUS-EEE\D$\_gsdata_\	73.6 KB	76.0 KB	04/07/2016	04/07/2016	.log (Notepad++ Document)	MATT 01
_cleanup.gss	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	0.0 KB	0.0 KB	08/11/2015	25/10/2015	.gss (GSS File)	Administrators
_file_state_v4._gs	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	1,437.9 KB	1,440.0 KB	04/07/2016	30/10/2015	._gs (_GS File)	Administrators
_recycled_db._gs	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	0.0 KB	4.0 KB	08/11/2015	30/10/2015	._gs (_GS File)	Administrators
2015-1019-050015-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.user-oper.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	92.3 KB	96.0 KB	20/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1020-212935-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	1.5 KB	4.0 KB	20/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1025-114518-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	1.2 KB	4.0 KB	25/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-002025-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	0.4 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1030-032848-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	3.5 KB	4.0 KB	30/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1108-053016-ASUS-BIGGER-D Microsoft Sync ASUS EEE D.log	\\1-ASUS-EEE\D$\03_MICROSOFT\_gsdata_\	955.3 KB	956.0 KB	08/11/2015	08/11/2015	.log (Notepad++ Document)	Administrators
_cleanup.gss	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.0 KB	0.0 KB	04/04/2016	16/03/2016	.gss (GSS File)	Guest
_file_state_v4._gs	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	2.0 KB	4.0 KB	04/07/2016	16/03/2016	._gs (_GS File)	Guest
2016-0316-234610-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.1 KB	4.0 KB	16/03/2016	16/03/2016	.log (Notepad++ Document)	Guest
2016-0316-235145-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	4.9 KB	8.0 KB	16/03/2016	16/03/2016	.log (Notepad++ Document)	Guest
2016-0316-235933-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.1 KB	4.0 KB	16/03/2016	16/03/2016	.log (Notepad++ Document)	Guest
2016-0317-080237-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	17/03/2016	17/03/2016	.log (Notepad++ Document)	Guest
2016-0317-092354-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	17/03/2016	17/03/2016	.log (Notepad++ Document)	Guest
2016-0319-131249-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.1 KB	4.0 KB	19/03/2016	19/03/2016	.log (Notepad++ Document)	Guest
2016-0319-152346-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	19/03/2016	19/03/2016	.log (Notepad++ Document)	Guest
2016-0321-093552-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	21/03/2016	21/03/2016	.log (Notepad++ Document)	Guest
2016-0321-144232-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	21/03/2016	21/03/2016	.log (Notepad++ Document)	Guest
2016-0321-145235-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	21/03/2016	21/03/2016	.log (Notepad++ Document)	Guest
2016-0322-135623-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	22/03/2016	22/03/2016	.log (Notepad++ Document)	Guest
2016-0322-203213-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	22/03/2016	22/03/2016	.log (Notepad++ Document)	Guest
2016-0322-205219-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	22/03/2016	22/03/2016	.log (Notepad++ Document)	Guest
2016-0323-002459-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	23/03/2016	23/03/2016	.log (Notepad++ Document)	Guest
2016-0323-070858-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	23/03/2016	23/03/2016	.log (Notepad++ Document)	Guest
2016-0323-100958-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.2 KB	4.0 KB	23/03/2016	23/03/2016	.log (Notepad++ Document)	Guest
2016-0324-094238-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	24/03/2016	24/03/2016	.log (Notepad++ Document)	Guest
2016-0324-153700-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	24/03/2016	24/03/2016	.log (Notepad++ Document)	Guest
2016-0325-110710-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	25/03/2016	25/03/2016	.log (Notepad++ Document)	Guest
2016-0325-112723-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	25/03/2016	25/03/2016	.log (Notepad++ Document)	Guest
2016-0326-151959-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	26/03/2016	26/03/2016	.log (Notepad++ Document)	Guest
2016-0328-081410-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	28/03/2016	28/03/2016	.log (Notepad++ Document)	Guest
2016-0328-082453-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	28/03/2016	28/03/2016	.log (Notepad++ Document)	Guest
2016-0329-074003-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	29/03/2016	29/03/2016	.log (Notepad++ Document)	Guest
2016-0330-112444-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	30/03/2016	30/03/2016	.log (Notepad++ Document)	Guest
2016-0330-150633-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	30/03/2016	30/03/2016	.log (Notepad++ Document)	Guest
2016-0330-151636-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	30/03/2016	30/03/2016	.log (Notepad++ Document)	Guest
2016-0330-161658-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	30/03/2016	30/03/2016	.log (Notepad++ Document)	Guest
2016-0330-164007-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	30/03/2016	30/03/2016	.log (Notepad++ Document)	Guest
2016-0331-102223-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.8 KB	4.0 KB	31/03/2016	31/03/2016	.log (Notepad++ Document)	Guest
2016-0402-141052-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	1.0 KB	4.0 KB	02/04/2016	02/04/2016	.log (Notepad++ Document)	Guest
2016-0404-031913-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.7 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-042309-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE ACER.log	\\1-ASUS-EEE\D$\KAT MP3 3-LINDA-PC\_gsdata_\	0.6 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
_cleanup.gss	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.0 KB	0.0 KB	19/08/2016	04/04/2016	.gss (GSS File)	Guest
_file_state_v4._gs	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	72.1 KB	76.0 KB	19/08/2016	04/04/2016	._gs (_GS File)	Guest
_insync_v4.gsl	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.1 KB	4.0 KB	21/08/2016	21/08/2016	.gsl (GSL File)	MATT 01
2016-0404-045202-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	14.5 KB	16.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-045815-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-050341-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	7.8 KB	8.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-050641-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-052549-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.7 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-052551-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.7 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-055959-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.1 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-060000-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.4 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-060109-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	3.3 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-060121-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	3.7 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-060826-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.1 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-060827-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.2 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-065226-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.7 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-065228-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.8 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-065832-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-065834-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-071054-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-071100-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-072113-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.6 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-072123-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.6 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-072319-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-072329-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-073953-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-074018-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	0.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-074611-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.9 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-074635-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	2.1 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-074823-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.1 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
2016-0404-074841-2-ASUS-X5DIJ-KAT MP3 AUDIO EEE & ACER.log	\\1-ASUS-EEE\D$\KAT MP3 RECORDER\_gsdata_\	1.2 KB	4.0 KB	04/04/2016	04/04/2016	.log (Notepad++ Document)	Guest
