192.168.1.237 \\1-ASUS-X5DIJ
192.168.1.117 \\2-ASUS-EEE
192.168.1.115 \\3-LINDA-PC
192.168.1.199 \\4-ASUS-GL522VW
192.168.1.67 \\5-ASUS-P2520LA
192.168.1.65 \\7-ASUS-GL522VW
192.168.1.236 \\8-MSI-GP62M-7RD
192.168.1.250 HTTPS:\\192.168.1.250\BTHUB
192.168.1.68 \\NAS-QNAP-ML

Run Time = 42.16796875 Seconds
